项目名称,房源描述,建筑面积,户型,楼层,总层数,朝向,建筑年代,单价（元/平米）,总价（万元）,所属学校,距离学校,所在区县,学区内小区个数,普通,小班教学,区重点,体育类,艺术类,语文类,双语,科技类,名校附属,市重点,外语类,室,厅,距离学校_米,房龄,楼层_数值
兰桂花园,高性价比 户型方正 配套齐全 采光好 口,126,3室2厅,低层,6,南北向,2000.0,39841,500.0,杭州市竞舟小学,0.34km,西湖,7个小区,1,1,0,0,0,0,0,0,0,0,0,3,2,340.0,26.0,1
兰桂花园,"开发商和物业,三房中装修,求是竞舟,位置好 急售",91,2室2厅,中层,6,南北向,2000.0,49451,450.0,杭州市竞舟小学,0.34km,西湖,7个小区,1,1,0,0,0,0,0,0,0,0,0,2,2,340.0,26.0,2
兰桂花园,兰桂花园 中间楼层 精装修 房东诚售,126,3室2厅,中层,5,南北向,2000.0,38095,480.0,杭州市竞舟小学,0.34km,西湖,7个小区,1,1,0,0,0,0,0,0,0,0,0,3,2,340.0,26.0,2
兰桂花园,"低总价诚售可做3房少有户型,物业,配套齐全 2号线",91,2室2厅,高层,4,南北向,2000.0,53827,488.0,杭州市竞舟小学,0.34km,西湖,7个小区,1,1,0,0,0,0,0,0,0,0,0,2,2,340.0,26.0,3
兰桂花园,西湖区西溪湿地旁口兰桂花园 城西住宅区 楼层好。,230,3室2厅,低层,3,南北向,2000.0,43391,998.0,杭州市竞舟小学,0.34km,西湖,7个小区,1,1,0,0,0,0,0,0,0,0,0,3,2,340.0,26.0,1
兰桂花园,兰桂花园 不沿马路 中间楼层 正气三房两卫 费!求是竞舟,116,3室2厅,低层,6,南北向,1998.0,46379,538.0,杭州市竞舟小学,0.34km,西湖,7个小区,1,1,0,0,0,0,0,0,0,0,0,3,2,340.0,28.0,1
兰桂花园,"兰桂花园126户型,三房朝南+双阳台+税+随时看房。",126,3室2厅,中层,5,南北向,1998.0,43640,550.0,杭州市竞舟小学,0.34km,西湖,7个小区,1,1,0,0,0,0,0,0,0,0,0,3,2,340.0,28.0,2
草庄,万科草庄 精装修 房东急售,88,1室1厅,低层,16,南北向,2012.0,31346,275.0,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,1,1,0,1,1,0,0,0,0,0,0,1,1,470.0,14.0,1
草庄,全明大三房 精装修出售 南北通透户型,131,3室2厅,低层,16,南向,2012.0,37786,495.0,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,1,1,0,1,1,0,0,0,0,0,0,3,2,470.0,14.0,1
世纪新筑,"清爽装修,楼层好!主卧朝南!没有税!业主诚心,价格可谈!",52,1室1厅,中层,18,南北向,2008.0,28846,150.0,拱墅区教师进修学校附属学校,0.45km,和睦,12个小区,1,0,0,0,0,0,0,0,0,0,0,1,1,450.0,18.0,2
世纪新筑,全明边套 运河 急卖,118,3室2厅,高层,26,南向,2008.0,34746,410.0,拱墅区教师进修学校附属学校,0.45km,和睦,12个小区,1,0,0,0,0,0,0,0,0,0,0,3,2,450.0,18.0,3
世纪新筑,世纪新筑 精装修 南北通套 沿河景观房 免双税,117,3室2厅,中层,15,南向,2008.0,40769,475.0,拱墅区教师进修学校附属学校,0.45km,和睦,12个小区,1,0,0,0,0,0,0,0,0,0,0,3,2,450.0,18.0,2
世纪新筑,京杭育才商品房 豪华装修电梯房中上楼层户型正气全明采光无遮挡,105,3室2厅,中层,22,南北向,2010.0,30952,325.0,拱墅区教师进修学校附属学校,0.45km,和睦,12个小区,1,0,0,0,0,0,0,0,0,0,0,3,2,450.0,16.0,2
草庄,万科草庄:89方户型可改2房 精装修 万科物业 可带车位,90,3室1厅,中层,17,南北向,2012.0,28889,260.0,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,1,1,0,1,1,0,0,0,0,0,0,3,1,470.0,14.0,2
草庄,"万科草庄,全明户型,地段,房东置换,高,",90,3室2厅,中层,16,南北向,2012.0,36667,330.0,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,1,1,0,1,1,0,0,0,0,0,0,3,2,470.0,14.0,2
西西湖,"温馨婚房,主卧朝南,户型正气,采光好,随时看房,诚心出售。",89,3室2厅,低层,22,南北向,2015.0,19663,175.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,3,2,1030.0,11.0,1
西西湖,世茂西西湖 英式联排 开发商十周年房 现390万起!!,220,4室2厅,低层,3,南北向,2014.0,19545,430.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,4,2,1030.0,12.0,1
草庄,万科草庄:89方户型可改2房 精装修 万科物业 可带车位,90,3室2厅,中层,16,南北向,2012.0,36667,330.0,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,1,1,0,1,1,0,0,0,0,0,0,3,2,470.0,14.0,2
草庄,小区位置 精装全明 万科打造 东边套 赠25平 急售..,132,3室2厅,低层,18,南北向,2010.0,42424,560.0,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,1,1,0,1,1,0,0,0,0,0,0,3,2,470.0,16.0,1
草庄,"60万豪华装修,满两年,房东移民美国,低价处理,价格可谈",90,3室2厅,中层,18,南北向,2015.0,33111,298.0,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,1,1,0,1,1,0,0,0,0,0,0,3,2,470.0,11.0,2
西西湖,"世茂西西湖温馨小三房,户型正气,小区环境好,业主诚心置换!!",85,3室2厅,高层,18,南北向,2015.0,19425,165.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,3,2,1030.0,11.0,3
西西湖,南湖旁法式联排别墅西西湖未来科技城板块现房在售,232,5室2厅,中层,4,南向,2017.0,19741,458.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,5,2,1030.0,9.0,2
西西湖,世茂西西湖好房 楼层好 价格优 毛坯房 户型方正 有钥匙!,89,3室2厅,中层,15,南北向,2015.0,20225,180.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,3,2,1030.0,11.0,2
西西湖,楼层好 采光很棒 高 成熟小区 视野开阔 双南户型,107,3室2厅,低层,23,南北向,2015.0,20561,220.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,3,2,1030.0,11.0,1
西西湖,"世茂西西湖,3房2卫,南北通透,空气清新,,阳光",105,3室2厅,低层,23,南向,2015.0,16190,170.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,3,2,1030.0,11.0,1
西西湖,世茂有墅一揽南湖美景轻轨双向阳台送花园露台,216,5室3厅,中层,4,西南向,2012.0,20833,450.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,5,3,1030.0,14.0,2
西西湖,世茂有墅 一揽南湖美景 轻轨 双向阳台 送花园 露台,216,5室3厅,低层,4,南向,2017.0,23148,500.0,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,0,1,1,0,0,0,0,0,0,0,0,5,3,1030.0,9.0,1
