序号,项目名称,房源描述,建筑面积,户型,楼层,总层数,朝向,建筑年代,单价（元/平米）,总价（万元）,所属学校,距离学校,所在区县,学区内小区个数,普通,小班教学,区重点,体育类,艺术类,语文类,双语,科技类,名校附属,市重点,外语类
1,兰桂花园,高性价比 户型方正 配套齐全 采光好 口,126,3室2厅,低层,6,南北向,2000,39841,500,杭州市竞舟小学,0.34km,西湖,7个小区,是,是,否,否,否,否,否,否,否,否,否
2,兰桂花园,"开发商和物业,三房中装修,求是竞舟,位置好 急售",91,2室2厅,中层,6,南北向,2000,49451,450,杭州市竞舟小学,0.34km,西湖,7个小区,是,是,否,否,否,否,否,否,否,否,否
3,兰桂花园,兰桂花园 中间楼层 精装修 房东诚售,126,3室2厅,中层,5,南北向,2000,38095,480,杭州市竞舟小学,0.34km,西湖,7个小区,是,是,否,否,否,否,否,否,否,否,否
4,兰桂花园,"低总价诚售可做3房少有户型,物业,配套齐全 2号线",91,2室2厅,高层,4,南北向,2000,53827,488,杭州市竞舟小学,0.34km,西湖,7个小区,是,是,否,否,否,否,否,否,否,否,否
5,兰桂花园,西湖区西溪湿地旁口兰桂花园 城西住宅区 楼层好。,230,3室2厅,低层,3,南北向,2000,43391,998,杭州市竞舟小学,0.34km,西湖,7个小区,是,是,否,否,否,否,否,否,否,否,否
6,兰桂花园,兰桂花园 不沿马路 中间楼层 正气三房两卫 费!求是竞舟,116,3室2厅,低层,6,南北向,1998,46379,538,杭州市竞舟小学,0.34km,西湖,7个小区,是,是,否,否,否,否,否,否,否,否,否
7,兰桂花园,"兰桂花园126户型,三房朝南+双阳台+税+随时看房。",126,3室2厅,中层,5,南北向,1998,43640,550,杭州市竞舟小学,0.34km,西湖,7个小区,是,是,否,否,否,否,否,否,否,否,否
8,草庄,万科草庄 精装修 房东急售,88,1室1厅,低层,16,南北向,2012,31346,275,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,是,是,否,是,是,否,否,否,否,否,否
9,草庄,全明大三房 精装修出售 南北通透户型,131,3室2厅,低层,16,南向,2012,37786,495,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,是,是,否,是,是,否,否,否,否,否,否
10,世纪新筑,"清爽装修,楼层好!主卧朝南!没有税!业主诚心,价格可谈!",52,1室1厅,中层,18,南北向,2008,28846,150,拱墅区教师进修学校附属学校,0.45km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
11,世纪新筑,全明边套 运河 急卖,118,3室2厅,高层,26,南向,2008,34746,410,拱墅区教师进修学校附属学校,0.45km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
